Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V
332.5,0.381497,4,3.949663,0.348613,4,3.996933,0.370714,4,3.939176,0.354714,4,3.976842,0.352182,4,4,0.35495,3.94965,4
333,0.382709,4,3.969595,0.349691,4,3.982486,0.371754,4,4,0.355558,4,3.996678,0.353218,4,4,0.355763,4,3.896838
333.5,0.383102,4,4,0.349987,4,4,0.372692,4,3.945244,0.3563,4,4,0.353649,3.98515,3.933833,0.356374,4,3.948791
334,0.383928,4,4,0.350748,3.996137,4,0.373457,4,4,0.357387,4,4,0.354692,3.957436,3.960729,0.357413,4,3.996039
334.5,0.384892,4,3.984571,0.351648,3.957849,4,0.374373,3.944701,4,0.357957,3.95287,4,0.355559,3.984476,4,0.358376,4,4
335,0.385868,3.968244,4,0.352818,4,4,0.375549,3.984051,4,0.358948,4,4,0.356723,3.876733,4,0.359419,4,4
335.5,0.386929,3.823338,4,0.353712,4,3.983801,0.376447,3.878364,4,0.359886,4,4,0.35745,4,3.961474,0.360349,4,4
336,0.387597,3.861285,4,0.354472,4,3.994894,0.377615,3.936992,4,0.360645,4,4,0.358391,4,4,0.361196,3.941926,4
336.5,0.388843,4,4,0.355318,4,3.983002,0.378453,4,3.84743,0.362085,4,4,0.359668,4,4,0.362553,3.905924,4
337,0.389913,4,3.916777,0.356199,4,3.994014,0.379331,3.946494,4,0.362953,4,4,0.360567,4,4,0.363571,3.976727,4
337.5,0.391161,3.909873,3.92869,0.357355,3.9663,4,0.380644,4,4,0.364103,4,3.966182,0.361927,4,4,0.36453,4,3.915003
338,0.391792,3.993471,4,0.358202,4,3.993174,0.381811,4,4,0.365172,4,4,0.362544,4,4,0.365719,3.981908,3.960018
338.5,0.392996,4,4,0.358919,4,4,0.382775,3.940174,3.985678,0.366094,3.965664,4,0.363529,4,4,0.366637,4,4
339,0.393818,3.903026,4,0.359767,4,4,0.384065,4,4,0.367088,4,4,0.36505,3.972511,4,0.367767,4,3.992457
339.5,0.394831,4,4,0.361362,4,4,0.384963,4,4,0.368006,4,4,0.365896,4,4,0.36858,4,4
340,0.39644,4,3.953814,0.362027,4,3.969783,0.384717,4,3.94766,0.367911,4,4,0.365066,4,3.98103,0.367711,3.980618,4
340.5,0.397653,4,3.845847,0.362282,3.954046,3.970163,0.383643,4,4,0.366672,3.899231,3.997469,0.363278,4,3.997169,0.365676,4,4
341,0.398518,3.881378,4,0.362799,4,3.98188,0.385043,3.934411,3.877229,0.367805,4,4,0.364656,3.94289,3.927041,0.367169,4,4
341.5,0.399434,3.921259,4,0.364621,3.982173,4,0.386133,4,4,0.369343,3.971176,4,0.365919,4,3.970717,0.368392,4,4
342,0.400702,4,3.980081,0.365396,4,4,0.387359,4,3.923748,0.370128,3.971176,3.982585,0.366733,3.942433,3.982795,0.369252,4,4
342.5,0.401808,4,3.999204,0.366529,4,4,0.388469,4,3.982956,0.370935,4,4,0.367964,4,4,0.370499,4,3.999087
343,0.403203,3.946841,3.893042,0.367361,3.903092,3.93351,0.38963,4,4,0.372238,4,4,0.369661,3.999363,4,0.371552,4,4
343.5,0.404412,3.811803,3.967697,0.368632,3.927549,3.963928,0.390676,4,4,0.372896,4,4,0.370307,4,4,0.372541,3.908883,4
344,0.405851,3.957135,4,0.369749,3.96397,4,0.392018,4,3.972801,0.373797,4,3.945452,0.37147,4,4,0.373871,4,4
344.5,0.407155,3.973502,3.924715,0.370705,4,4,0.393393,4,3.930873,0.375697,3.973344,3.803348,0.373084,3.973242,4,0.375265,4,3.964702
345,0.408459,4,4,0.372376,4,4,0.394991,4,4,0.377128,4,4,0.374485,4,3.925927,0.377044,3.701741,3.973814
345.5,0.410026,4,4,0.373625,4,4,0.396304,4,3.876722,0.378366,4,4,0.37589,4,3.974008,0.378184,3.952264,4
346,0.411414,3.985909,4,0.374758,4,4,0.397484,3.986162,3.947289,0.379628,4,3.96601,0.376918,3.952588,3.958789,0.379182,4,4
346.5,0.4123,3.958977,4,0.375751,4,3.975074,0.399057,4,3.874736,0.380768,4,3.952324,0.377916,4,3.958789,0.380761,4,4
347,0.413683,4,4,0.376904,4,4,0.400614,3.895272,4,0.381885,4,4,0.379169,4,4,0.381805,4,4
347.5,0.415104,3.951642,4,0.378627,4,3.987185,0.401955,4,4,0.383653,3.935793,4,0.380479,3.948239,3.951694,0.383508,4,4
348,0.417065,3.932634,4,0.379938,4,4,0.403738,4,4,0.384788,3.987265,4,0.382201,4,3.943241,0.384818,3.947717,4
348.5,0.418249,3.976495,4,0.381151,4,4,0.405088,4,3.940161,0.386366,3.94899,4,0.383582,4,4,0.386135,3.975384,4
349,0.419579,3.960876,3.988234,0.382275,3.913958,4,0.406454,4,4,0.387495,3.921557,4,0.38493,4,4,0.387358,4,4
349.5,0.421265,3.885888,3.929084,0.383847,4,4,0.408113,3.988416,4,0.388799,4,4,0.385846,4,4,0.389196,4,4
350,0.42256,3.837401,4,0.384917,3.900155,4,0.409363,3.914127,4,0.390645,4,4,0.387696,3.950186,3.885135,0.390713,4,4
