Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,V_baseline,H_baseline
440.0,0.483078,0.489269,0.4696943,0.472427,0.5015639999999999,0.42858130000000005,0.472334,0.5188090000000001,0.40722729999999996,0.472793,0.531847,0.39327829999999997,0.5278697,0.357563
440.5,0.486127,0.4924683333,0.47288529999999995,0.475348,0.5047503333000001,0.4313083,0.475292,0.5221643332999999,0.4097813,0.475652,0.5353393333,0.39559829999999996,0.5271207,0.3570586667
441.0,0.489137,0.4956556667,0.47601569999999993,0.478328,0.5080286667,0.4340047,0.478258,0.5254746667000001,0.4122977,0.478546,0.5389106667000001,0.3979667,0.5264763,0.3565153333
441.5,0.492152,0.49866433330000004,0.4788167,0.481255,0.5110523333,0.4365677,0.481157,0.5287703333,0.41479369999999993,0.481351,0.5423433333000001,0.40034669999999994,0.5258363,0.3559856667
442.0,0.495105,0.5017376667,0.4816207,0.484032,0.5140726667,0.4393307000000001,0.484078,0.5319356666999999,0.4171437,0.484252,0.5455596667,0.4025877,0.5251813,0.3554913333
442.5,0.497946,0.5043713333,0.4843487000000001,0.486757,0.5171563333,0.4417907,0.486735,0.5351753333,0.4194437,0.486933,0.5485023333000001,0.4048197,0.5245873,0.3550456667
443.0,0.501083,0.5076609999999999,0.48732169999999997,0.489776,0.5204740000000001,0.4443667,0.489693,0.5383020000000001,0.4218537,0.489831,0.5520160000000001,0.4072717,0.5239773,0.354539
443.5,0.50431,0.511048,0.490549,0.492974,0.5239579999999999,0.447431,0.492851,0.542152,0.424643,0.492901,0.555717,0.40986,0.523324,0.353975
444.0,0.507515,0.5144026667000001,0.4937197,0.496042,0.5273696667000001,0.4502976999999999,0.496002,0.5456726667,0.4271347,0.495978,0.5593796667,0.41216469999999994,0.5227093,0.3534293333
444.5,0.510758,0.5176676667,0.4968809999999999,0.499262,0.5307776666999999,0.453106,0.499027,0.5490376667000001,0.43005899999999997,0.499068,0.5630966666999999,0.414724,0.522035,0.3529243333
445.0,0.514064,0.5209313333000001,0.4999919999999999,0.502457,0.5341063333,0.455897,0.502258,0.5525583332999999,0.432747,0.502099,0.5669083333,0.4173389999999999,0.521418,0.3524316667
445.5,0.517336,0.5242543333,0.50325,0.505632,0.5375043333,0.458758,0.505346,0.5562973333,0.435249,0.505212,0.5705103333,0.419864,0.520867,0.3519276667
446.0,0.520491,0.5274620000000001,0.5061146999999999,0.508688,0.5406230000000001,0.46130269999999995,0.508225,0.5594920000000001,0.43756269999999997,0.508101,0.573788,0.42221169999999997,0.5203183,0.351501
446.5,0.523776,0.5310163333,0.5095513,0.511723,0.5440433333,0.46432530000000005,0.511357,0.5629233333,0.4404013,0.511178,0.5774983333,0.42476630000000004,0.5196607,0.3509746667
447.0,0.527073,0.5343646666999999,0.5125783,0.514924,0.5473976667,0.4668993,0.514496,0.5665656667000001,0.44316030000000006,0.514317,0.5810166667000001,0.42705230000000005,0.5191197,0.3504963333
447.5,0.530487,0.537647,0.5158690000000001,0.51809,0.5509160000000001,0.47030400000000006,0.517687,0.570083,0.44591900000000007,0.517402,0.584542,0.429851,0.518508,0.349996
448.0,0.533897,0.5413113333,0.5191827,0.521423,0.5545713333,0.47306670000000006,0.520882,0.5738343333,0.4485587000000001,0.520631,0.5883913333,0.43244270000000007,0.5179303,0.3494996667
448.5,0.537369,0.544667,0.5223392999999998,0.524694,0.558093,0.4758013,0.524231,0.577607,0.4513583,0.523921,0.592128,0.43491329999999995,0.5174087,0.349018
449.0,0.540727,0.5481466667,0.5255427,0.527895,0.5614946667,0.4786387,0.527375,0.5813006667,0.4539337,0.527061,0.5958216667,0.4375907,0.5169213,0.3485593333
449.5,0.544087,0.5514699999999999,0.5289569999999999,0.531205,0.5649789999999999,0.48160400000000003,0.530587,0.584867,0.45669800000000005,0.530174,0.5995170000000001,0.440056,0.51637,0.348134
450.0,0.547159,0.5547136667000001,0.5319743,0.534135,0.5681536667,0.48435529999999993,0.533522,0.5881586667,0.45929129999999996,0.532976,0.6027876667000001,0.4423482999999999,0.5158987,0.3477313333
450.5,0.55037,0.558049,0.5349713,0.537213,0.571552,0.4870633,0.536682,0.591549,0.4618833,0.53596,0.606245,0.44480529999999996,0.5153717,0.347248
451.0,0.553924,0.5615426667000001,0.5383119999999999,0.540596,0.5753496667,0.49030799999999997,0.540038,0.5952546667,0.46485599999999994,0.539222,0.6099766667,0.44756699999999994,0.514823,0.3467583333
451.5,0.557477,0.5650856666999999,0.5417963,0.544031,0.5790966666999999,0.4934223000000001,0.543439,0.5989906667,0.46794630000000004,0.542529,0.6139786667,0.4502693,0.5142747,0.3463103333
452.0,0.560982,0.5688056666999999,0.5453157000000001,0.547514,0.5827926667000001,0.49668670000000004,0.546861,0.6030066667,0.47071969999999996,0.545764,0.6178556666999999,0.4529187,0.5137823,0.3458633333
452.5,0.564578,0.5725039999999999,0.5487452999999999,0.550896,0.586517,0.4996592999999999,0.550221,0.606703,0.47365329999999994,0.549094,0.6217870000000001,0.45579629999999993,0.5132107,0.345378
453.0,0.568272,0.576477,0.5523020000000001,0.554362,0.590291,0.5029349999999999,0.553572,0.610581,0.476476,0.552487,0.62578,0.458526,0.512702,0.344881
453.5,0.571963,0.5800493333,0.5559552999999999,0.557995,0.5939623333,0.5060662999999999,0.557056,0.6145083333,0.47942629999999997,0.555883,0.6297773333,0.4613883,0.5121617,0.3444686667
454.0,0.575648,0.5838866667,0.5595903000000001,0.561547,0.5977676667,0.5092412999999999,0.560413,0.6184436667,0.4822223,0.559338,0.6338516667,0.4640453,0.5116777,0.3440543333
454.5,0.579372,0.5877356667,0.5632677,0.56514,0.6018016667,0.5125987,0.56394,0.6225246667,0.4853957,0.562746,0.6379076667,0.4670617,0.5110973,0.3435523333
455.0,0.583133,0.5916196667,0.5667420000000001,0.56864,0.6055816667,0.515828,0.567424,0.6263606666999999,0.48848,0.566069,0.6418416667,0.469831,0.510578,0.3431183333
455.5,0.586924,0.5953216667000001,0.5705560000000001,0.572266,0.6093036667,0.519107,0.570846,0.6303656666999999,0.491398,0.569518,0.6460046666999999,0.472661,0.510051,0.3426973333
456.0,0.590734,0.5993593333,0.5740767,0.575787,0.6132543333,0.5225377,0.574461,0.6341983333000001,0.49449870000000007,0.573051,0.6497903333000001,0.4755267000000001,0.5095603,0.3422966667
456.5,0.594643,0.6032603333,0.5779380000000001,0.579561,0.6172723333000001,0.525601,0.578137,0.6383903333000001,0.4974099999999999,0.576686,0.6539693333000001,0.478394,0.509015,0.3418376667
457.0,0.598906,0.6075203333,0.5819697,0.583403,0.6214233333,0.5293157000000001,0.581953,0.6428693333,0.5009697000000001,0.580377,0.6583303333,0.4816197,0.5083873,0.3413416667
457.5,0.602966,0.6115166667,0.5858599999999999,0.5872,0.6255316667,0.532641,0.585619,0.6470256667,0.5041160000000001,0.583957,0.6626976667000001,0.48471200000000003,0.507918,0.3409613333
458.0,0.606652,0.6155156666999999,0.5896063,0.590893,0.6295846667,0.5358033,0.589217,0.6510166666999999,0.5070873,0.587401,0.6667226666999999,0.48738630000000005,0.5074477,0.3406353333
458.5,0.61048,0.619353,0.5933377,0.594591,0.633364,0.5391687000000001,0.592791,0.655041,0.5103347,0.59091,0.6707619999999999,0.49014369999999996,0.5069633,0.340278
459.0,0.614435,0.6233869999999999,0.5971859999999999,0.598349,0.637467,0.5425220000000001,0.596444,0.6591670000000001,0.513545,0.59442,0.6748259999999999,0.49327199999999993,0.506433,0.339941
459.5,0.618464,0.6273986667,0.6008083,0.602117,0.6416086667,0.5460783,0.600223,0.6630946667,0.5167883,0.597984,0.6791006667000001,0.4961803,0.5059277,0.3395433333
460.0,0.622389,0.631493,0.6046627,0.605893,0.645653,0.5494877,0.603822,0.66733,0.5198707,0.601598,0.6833180000000001,0.49910769999999993,0.5054543,0.33914
460.5,0.626454,0.6356293333,0.6086172999999999,0.60972,0.6496943333,0.5531162999999999,0.607444,0.6712683333,0.5231543000000001,0.605043,0.6876673333000001,0.5022302999999999,0.5048907,0.3387966667
461.0,0.630665,0.6398246667,0.61276,0.613655,0.6538996666999999,0.5569230000000001,0.611308,0.6757766667,0.5264690000000001,0.6088,0.6919176667,0.505331,0.504254,0.3384193333
461.5,0.634429,0.6439906666999999,0.6166007,0.617359,0.6578246667000001,0.5602807000000001,0.614743,0.6796526667,0.5296067,0.612211,0.6960056666999999,0.5083567,0.5037303,0.3381063333
462.0,0.638088,0.6477806667,0.6201837,0.620936,0.6616286667,0.5635667000000001,0.618278,0.6834036667000001,0.5325147,0.615548,0.6999716667,0.5111257000000001,0.5032483,0.3377833333
462.5,0.642135,0.651964,0.6238689999999999,0.624692,0.6656049999999999,0.5669939999999999,0.621847,0.6876270000000001,0.535597,0.619014,0.704071,0.514272,0.5027,0.337538
463.0,0.646361,0.6562513333000001,0.6280033,0.628662,0.6698573333,0.5705293,0.625559,0.6918893333,0.5388763000000001,0.622689,0.7082993333000001,0.5173633,0.5021817,0.3372526667
463.5,0.650741,0.660692,0.632424,0.63272,0.674064,0.574391,0.629469,0.696359,0.5425829999999999,0.626562,0.7127870000000001,0.5206540000000001,0.501534,0.336986
464.0,0.654963,0.665001,0.6365867,0.636584,0.678307,0.5777837,0.633244,0.700572,0.5459377,0.630326,0.7170179999999999,0.5238336999999998,0.5009343,0.336718
464.5,0.659069,0.6692793333,0.6406449999999999,0.640411,0.6823443333000001,0.581536,0.636959,0.7047843333000001,0.549309,0.633964,0.7212373333000002,0.5267729999999999,0.500407,0.3365326667
465.0,0.6632,0.673102,0.6444803,0.644195,0.6863,0.5850262999999999,0.640716,0.708835,0.5525912999999999,0.637494,0.725343,0.5299773,0.4998367,0.336348
465.5,0.667396,0.6774639999999998,0.6485637,0.648185,0.6905049999999999,0.5886727,0.644503,0.7132189999999998,0.5559717000000002,0.641154,0.7294479999999999,0.5329837000000002,0.4992233,0.336216
466.0,0.671795,0.6820290000000001,0.6526917000000001,0.65227,0.6949770000000001,0.5922627,0.648394,0.7176809999999999,0.5593367,0.644905,0.733807,0.5362437,0.4985483,0.336032
466.5,0.675929,0.6860109999999999,0.6567993,0.656007,0.699152,0.5958973,0.652092,0.72159,0.5626962999999999,0.648433,0.7379990000000001,0.5393792999999999,0.4978827,0.335882
467.0,0.680037,0.690238,0.6607307,0.659855,0.703277,0.5996767000000001,0.655846,0.7258479999999999,0.5662526999999999,0.652021,0.742091,0.5425947,0.4971253,0.335778
467.5,0.684359,0.6945730000000001,0.6649609999999999,0.663816,0.7073940000000001,0.6036539999999999,0.659701,0.7301500000000001,0.569556,0.655659,0.7464170000000001,0.5458799999999999,0.496399,0.335726
468.0,0.688648,0.699198,0.6693727,0.667879,0.7118599999999999,0.6072797000000001,0.663617,0.73438,0.5731637,0.659416,0.750794,0.5490917,0.4955363,0.335666
468.5,0.692706,0.7032923333000001,0.6734087,0.671702,0.7158543333,0.6109167,0.667142,0.7383383333,0.5763547,0.662812,0.7549753333,0.5521957,0.4947663,0.3356956667
469.0,0.696783,0.7073116667000001,0.6771353000000001,0.675411,0.7198776667,0.6144153,0.670711,0.7423876667,0.5796283000000001,0.666183,0.7589206667000001,0.5552263000000001,0.4939587,0.3358163333
