Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V
692.5,0.081452,0.344327,0.705889,0.084019,0.347316,0.705882,0.086907,0.35143,0.707224,0.092083,0.356827,0.710183
693,0.081392,0.344212,0.705071,0.084013,0.3472,0.705095,0.086866,0.351279,0.706392,0.092077,0.35667,0.709379
693.5,0.081302,0.343898,0.704414,0.083943,0.3469,0.704487,0.086815,0.350974,0.705802,0.092014,0.356366,0.708791
694,0.081262,0.343427,0.703799,0.083888,0.346509,0.7039,0.086747,0.350536,0.705202,0.09199,0.355977,0.708151
694.5,0.081202,0.343195,0.703189,0.083807,0.34627,0.703264,0.086669,0.350331,0.704609,0.09193,0.355803,0.707528
695,0.08114,0.343153,0.702552,0.083781,0.346263,0.702663,0.086676,0.350329,0.704013,0.091927,0.355733,0.706919
695.5,0.08106,0.342802,0.701898,0.08371,0.345898,0.70191,0.086658,0.349921,0.703281,0.091836,0.35533,0.706103
696,0.08108,0.342363,0.701346,0.083737,0.345448,0.701355,0.086623,0.349523,0.702746,0.091811,0.354965,0.705642
696.5,0.08107,0.342259,0.700892,0.083732,0.345305,0.700953,0.086637,0.3495,0.702419,0.091798,0.354905,0.705221
697,0.081033,0.342228,0.70031,0.083673,0.345233,0.700321,0.086623,0.349373,0.701741,0.091796,0.354692,0.704487
697.5,0.080905,0.341841,0.699603,0.083605,0.344931,0.699667,0.086581,0.348964,0.701003,0.091749,0.354332,0.703835
698,0.080923,0.341436,0.699189,0.083607,0.344548,0.699264,0.086559,0.348679,0.700633,0.091713,0.354004,0.703447
698.5,0.080888,0.341158,0.698555,0.083571,0.344223,0.698692,0.086504,0.348389,0.699992,0.091667,0.353732,0.702761
699,0.080848,0.341031,0.697925,0.083555,0.344105,0.698048,0.086497,0.348251,0.699395,0.091625,0.353613,0.702105
699.5,0.080865,0.340748,0.697391,0.0835,0.343916,0.697533,0.08645,0.34799,0.698847,0.091532,0.353306,0.701533
700,0.080875,0.340314,0.696876,0.083504,0.343438,0.697051,0.086456,0.347545,0.698371,0.091546,0.352862,0.701052
700.5,0.080778,0.33995,0.696395,0.083494,0.34309,0.696586,0.086359,0.347278,0.697917,0.091466,0.352672,0.700614
701,0.080739,0.339928,0.695918,0.08344,0.343028,0.696089,0.086311,0.347228,0.697327,0.091423,0.352624,0.700089
701.5,0.080724,0.339638,0.69532,0.083417,0.342727,0.695413,0.086352,0.346874,0.69671,0.091423,0.35223,0.699408
702,0.080701,0.339123,0.694874,0.083392,0.342237,0.69499,0.086363,0.346429,0.696393,0.091464,0.351801,0.699065
702.5,0.080671,0.33887,0.694614,0.083382,0.341965,0.694672,0.086334,0.346225,0.696044,0.091474,0.351601,0.698787
703,0.080682,0.338748,0.694082,0.083405,0.341851,0.69419,0.086315,0.346086,0.69552,0.091425,0.351458,0.698173
703.5,0.080629,0.338485,0.693481,0.083339,0.3416,0.6936,0.086247,0.345836,0.694886,0.091385,0.351116,0.69761
704,0.0806,0.338033,0.693067,0.08334,0.34119,0.693169,0.086229,0.345389,0.69455,0.091326,0.350656,0.697214
704.5,0.080616,0.337609,0.69265,0.083365,0.340712,0.692757,0.086282,0.344978,0.694149,0.091342,0.350275,0.696759
705,0.080551,0.337327,0.692132,0.083298,0.340555,0.692298,0.086264,0.344793,0.693715,0.091299,0.350119,0.696358
705.5,0.080575,0.337305,0.691737,0.083303,0.340537,0.691927,0.086279,0.344746,0.693309,0.091337,0.350017,0.695988
706,0.080568,0.336903,0.691219,0.083297,0.34016,0.691408,0.086214,0.344332,0.692769,0.0913,0.349509,0.695338
706.5,0.080549,0.33638,0.690843,0.083311,0.339622,0.691063,0.086185,0.343818,0.692418,0.091267,0.349044,0.69499
707,0.080532,0.336213,0.690531,0.083294,0.339417,0.690824,0.086208,0.343678,0.692148,0.091293,0.348959,0.69465
707.5,0.080477,0.336064,0.689982,0.08322,0.3393,0.690284,0.086196,0.343492,0.691539,0.091196,0.348714,0.693948
708,0.08047,0.335684,0.689454,0.083176,0.338877,0.689688,0.086143,0.343036,0.691009,0.091131,0.348259,0.693525
708.5,0.08043,0.335158,0.689235,0.083177,0.338415,0.6894,0.08612,0.342548,0.690776,0.091142,0.34786,0.693256
709,0.080462,0.33485,0.688937,0.083176,0.338154,0.68913,0.086162,0.342278,0.690399,0.09116,0.347624,0.692879
709.5,0.080423,0.334761,0.688478,0.083204,0.337965,0.688702,0.086142,0.342127,0.689885,0.091152,0.347445,0.692464
710,0.080455,0.334599,0.688129,0.083229,0.337803,0.688315,0.086156,0.341962,0.689537,0.091154,0.347246,0.692106
710.5,0.080505,0.334163,0.687731,0.083263,0.33737,0.687954,0.086099,0.341493,0.689093,0.091132,0.346736,0.691648
711,0.080425,0.333536,0.687317,0.083192,0.336723,0.687504,0.086068,0.340921,0.688742,0.091084,0.346214,0.691248
711.5,0.080336,0.333287,0.687019,0.083138,0.336577,0.687189,0.086078,0.340748,0.688494,0.091057,0.346053,0.690992
712,0.080319,0.33324,0.686663,0.08311,0.336531,0.68678,0.086038,0.340702,0.688085,0.091048,0.345943,0.690529
712.5,0.080387,0.332853,0.686158,0.083126,0.336098,0.686316,0.086091,0.340241,0.687568,0.09106,0.345433,0.689988
713,0.080395,0.332305,0.685883,0.08316,0.335583,0.686048,0.08612,0.33974,0.687354,0.091085,0.344949,0.68981
713.5,0.080403,0.331997,0.685728,0.083173,0.335323,0.685874,0.086077,0.339512,0.687195,0.091095,0.344697,0.689621
714,0.08042,0.331867,0.68532,0.083186,0.335213,0.685497,0.086056,0.339429,0.686745,0.091063,0.344551,0.689121
714.5,0.080448,0.331706,0.684832,0.083203,0.334987,0.68508,0.086104,0.339183,0.686326,0.091086,0.344256,0.688732
715,0.080423,0.331225,0.684567,0.083164,0.334502,0.684738,0.086131,0.338633,0.685988,0.091077,0.343783,0.6884
715.5,0.080411,0.330642,0.684217,0.083148,0.33395,0.684429,0.086131,0.338108,0.685612,0.091016,0.343236,0.688047
716,0.080409,0.330364,0.683878,0.083199,0.333733,0.684117,0.086125,0.337931,0.685279,0.091037,0.343089,0.687761
716.5,0.080361,0.330278,0.683591,0.083136,0.333631,0.683788,0.086079,0.337837,0.684913,0.090988,0.343019,0.687419
717,0.080353,0.329981,0.683172,0.08312,0.333288,0.683363,0.086058,0.337449,0.684442,0.090968,0.342559,0.686872
717.5,0.080366,0.329357,0.682815,0.083129,0.332619,0.683031,0.086048,0.336795,0.68416,0.090952,0.341947,0.686552
718,0.080352,0.328947,0.682654,0.083182,0.332303,0.682879,0.086021,0.33652,0.684048,0.090961,0.341692,0.686429
718.5,0.080363,0.328866,0.682329,0.083178,0.332188,0.682533,0.085996,0.336401,0.683626,0.090913,0.341516,0.685949
719,0.080319,0.32853,0.681817,0.083112,0.331812,0.68197,0.085983,0.335986,0.68312,0.090913,0.341059,0.685476
719.5,0.080334,0.327976,0.681612,0.083064,0.331311,0.681758,0.086008,0.335478,0.682947,0.090888,0.34058,0.685301
720,0.080306,0.327535,0.681388,0.083085,0.330872,0.68155,0.086033,0.335036,0.682685,0.090856,0.340175,0.685021
720.5,0.080353,0.327326,0.68101,0.083101,0.330645,0.681203,0.086023,0.334826,0.682309,0.090856,0.339921,0.684604
721,0.080363,0.327092,0.680686,0.083122,0.330457,0.680853,0.086041,0.33466,0.68203,0.09086,0.339747,0.684281
721.5,0.080392,0.326681,0.680396,0.083169,0.33,0.680553,0.086041,0.334208,0.681708,0.090898,0.339269,0.683852
722,0.080346,0.32603,0.679991,0.083148,0.329316,0.680148,0.085991,0.3335,0.681281,0.090876,0.338629,0.683525
722.5,0.080366,0.325744,0.679798,0.083177,0.329045,0.679976,0.086017,0.333235,0.681171,0.090894,0.338433,0.683435
723,0.080382,0.325738,0.679625,0.083207,0.329056,0.679839,0.086046,0.333197,0.680943,0.09087,0.338388,0.683089
723.5,0.080412,0.325436,0.679208,0.083203,0.328769,0.67933,0.086081,0.332843,0.680415,0.09088,0.337968,0.682619
724,0.080412,0.324783,0.678899,0.083152,0.328112,0.679016,0.08604,0.332207,0.680198,0.09087,0.337359,0.682455
724.5,0.080361,0.324288,0.678808,0.083117,0.32763,0.678884,0.085977,0.331829,0.680036,0.0908,0.336938,0.682281
725,0.080324,0.324109,0.678454,0.083115,0.327461,0.678591,0.085984,0.33165,0.679673,0.090793,0.336734,0.681819
725.5,0.080358,0.323973,0.678141,0.083199,0.327301,0.67824,0.085986,0.331484,0.679293,0.09084,0.33653,0.681514
726,0.080432,0.323576,0.677936,0.083219,0.326932,0.678051,0.086018,0.331067,0.679132,0.090882,0.336089,0.681312
726.5,0.080355,0.322947,0.677596,0.08322,0.326263,0.67768,0.08602,0.330416,0.678771,0.090862,0.335449,0.680847
727,0.080399,0.322482,0.677283,0.083188,0.325817,0.677385,0.086019,0.330007,0.678508,0.090825,0.335093,0.680576
727.5,0.080442,0.322389,0.677156,0.083228,0.325792,0.67723,0.086061,0.329998,0.678402,0.090862,0.335061,0.68046
728,0.080474,0.322198,0.676896,0.083264,0.325602,0.676927,0.086076,0.329723,0.678008,0.090866,0.334735,0.680103
728.5,0.08049,0.321588,0.676482,0.083272,0.32494,0.676504,0.086085,0.329045,0.677621,0.090841,0.334005,0.679739
729,0.080443,0.321066,0.676367,0.083243,0.324393,0.676396,0.086036,0.328568,0.677517,0.090817,0.33355,0.679704
729.5,0.080439,0.32092,0.676222,0.083267,0.324262,0.67627,0.086069,0.328418,0.677369,0.090797,0.333486,0.679467
730,0.080503,0.320777,0.675869,0.083289,0.324136,0.675897,0.086095,0.32823,0.676924,0.090816,0.333235,0.678995
730.5,0.08052,0.320304,0.675614,0.083296,0.323652,0.675623,0.086109,0.327801,0.676645,0.090846,0.332655,0.678722
731,0.08056,0.319728,0.675526,0.083318,0.323098,0.675472,0.086134,0.327263,0.676522,0.09085,0.332192,0.678609
731.5,0.080562,0.319344,0.675255,0.083324,0.322718,0.675246,0.086142,0.326855,0.676207,0.090844,0.331879,0.678335
732,0.080586,0.319144,0.674952,0.083319,0.322518,0.674984,0.086155,0.326685,0.675972,0.090838,0.331702,0.678074
732.5,0.080597,0.319036,0.674762,0.083325,0.322415,0.674776,0.086147,0.326542,0.675788,0.090826,0.331472,0.677826
733,0.080581,0.318593,0.674505,0.083385,0.32194,0.674519,0.086181,0.326025,0.67545,0.090821,0.330908,0.677471
733.5,0.08056,0.317913,0.674153,0.08338,0.32127,0.674147,0.086145,0.325329,0.675177,0.090799,0.330315,0.677208
734,0.0806,0.317538,0.674073,0.083369,0.320932,0.674044,0.086171,0.325035,0.675087,0.090794,0.330057,0.67719
734.5,0.080632,0.317604,0.674001,0.083409,0.320942,0.673986,0.086178,0.325057,0.674995,0.090831,0.330101,0.677046
735,0.080701,0.317428,0.67367,0.083458,0.320657,0.673676,0.086214,0.324824,0.674648,0.090854,0.329745,0.676656
735.5,0.080696,0.316781,0.673422,0.083473,0.320034,0.673462,0.086247,0.324159,0.674466,0.090881,0.329101,0.676411
736,0.080696,0.31623,0.673407,0.083479,0.319575,0.673384,0.086258,0.323671,0.674403,0.090866,0.328667,0.676377
736.5,0.080725,0.316031,0.673198,0.083507,0.319339,0.673162,0.08628,0.3235,0.674127,0.090886,0.328538,0.676109
737,0.08075,0.315906,0.672879,0.083512,0.319199,0.672908,0.086266,0.323337,0.673717,0.09089,0.328315,0.675766
737.5,0.080705,0.315549,0.6727,0.083523,0.318838,0.672699,0.086261,0.322975,0.673564,0.09089,0.327872,0.675583
738,0.080724,0.315002,0.672497,0.083517,0.318262,0.672473,0.086275,0.322411,0.673359,0.090862,0.327257,0.675238
738.5,0.080778,0.314449,0.672265,0.08353,0.317667,0.672227,0.086314,0.321834,0.673065,0.090912,0.326792,0.674961
739,0.080861,0.314297,0.672217,0.083616,0.317485,0.672162,0.08636,0.321657,0.673127,0.090932,0.326732,0.675016
739.5,0.080916,0.314331,0.672208,0.083667,0.31759,0.672082,0.08639,0.321656,0.673038,0.090961,0.32668,0.674911
740,0.080945,0.313962,0.671888,0.083684,0.317259,0.671711,0.086441,0.321243,0.672621,0.090987,0.326135,0.674466
740.5,0.08097,0.31325,0.671565,0.0837,0.316556,0.671487,0.086446,0.320532,0.672359,0.090964,0.325437,0.674268
741,0.080947,0.312808,0.671504,0.08368,0.316113,0.671494,0.086431,0.320135,0.672349,0.090933,0.325128,0.674295
741.5,0.080953,0.31273,0.671412,0.08367,0.316005,0.671372,0.086402,0.320078,0.672185,0.090918,0.32509,0.673996
742,0.080937,0.312494,0.67105,0.083653,0.315773,0.670946,0.086383,0.31977,0.671751,0.090836,0.324725,0.673618
742.5,0.080983,0.31199,0.670857,0.083666,0.315307,0.670791,0.086446,0.319241,0.671607,0.090883,0.324188,0.673519
743,0.081049,0.311472,0.670849,0.083756,0.314786,0.670758,0.086502,0.318776,0.671537,0.09095,0.323702,0.673423
743.5,0.081061,0.31111,0.67062,0.083831,0.314388,0.670491,0.086491,0.318425,0.671259,0.090998,0.32336,0.673141
744,0.081107,0.310967,0.670433,0.083828,0.314272,0.670322,0.08655,0.31837,0.671167,0.09106,0.323264,0.673065
744.5,0.081113,0.310772,0.670372,0.083836,0.314131,0.670201,0.086561,0.318126,0.671002,0.091035,0.323021,0.672895
745,0.081075,0.310182,0.670012,0.083793,0.313461,0.669894,0.086504,0.317382,0.670607,0.090948,0.322268,0.672473
745.5,0.081055,0.309421,0.669673,0.083751,0.312707,0.669582,0.08644,0.316704,0.670396,0.090922,0.321579,0.672259
746,0.080957,0.309081,0.669614,0.083645,0.31241,0.669499,0.086349,0.316512,0.670325,0.09083,0.321437,0.67221
746.5,0.080862,0.309064,0.669423,0.083559,0.312352,0.669305,0.086315,0.316435,0.670014,0.090775,0.32128,0.671821
747,0.080809,0.308595,0.668973,0.083485,0.311843,0.668831,0.08619,0.315864,0.669576,0.090657,0.320597,0.671309
747.5,0.080774,0.307823,0.668808,0.083459,0.311093,0.668611,0.086175,0.315074,0.669439,0.090592,0.31983,0.671217
748,0.080716,0.307281,0.668764,0.083408,0.310569,0.668498,0.086147,0.314639,0.669372,0.090524,0.31945,0.671121
748.5,0.080685,0.307137,0.668459,0.083377,0.310416,0.668247,0.08613,0.31447,0.668988,0.090501,0.319279,0.670728
749,0.080661,0.306926,0.668253,0.083371,0.310164,0.668049,0.086104,0.314205,0.668844,0.090486,0.319056,0.670542
749.5,0.080663,0.306498,0.668141,0.083338,0.309789,0.667976,0.086086,0.313808,0.668739,0.090501,0.318635,0.670421
750,0.080627,0.305851,0.667843,0.083309,0.309123,0.667648,0.08599,0.313147,0.668409,0.090427,0.317927,0.670146
750.5,0.080647,0.305321,0.667577,0.083302,0.308598,0.667379,0.086006,0.312684,0.668192,0.090436,0.317429,0.669933
751,0.080645,0.305211,0.667633,0.083334,0.308544,0.667433,0.086039,0.312642,0.668273,0.09047,0.317416,0.670074
751.5,0.080631,0.305197,0.667558,0.083315,0.3085,0.667371,0.086022,0.312583,0.668091,0.09039,0.317352,0.669826
752,0.080663,0.304765,0.667247,0.083322,0.308014,0.667052,0.08602,0.312002,0.667691,0.090393,0.316758,0.66941
752.5,0.080632,0.303967,0.666997,0.083317,0.307243,0.666791,0.086004,0.311235,0.667499,0.090363,0.31602,0.669298
753,0.080629,0.303576,0.66708,0.083296,0.306889,0.666867,0.085984,0.310954,0.667613,0.090349,0.315753,0.669365
753.5,0.080665,0.303593,0.667018,0.083329,0.306872,0.666788,0.086004,0.310956,0.667406,0.090336,0.31572,0.669151
754,0.080694,0.303462,0.666738,0.08332,0.306723,0.666532,0.086005,0.310746,0.667168,0.090318,0.315454,0.668883
754.5,0.080721,0.302916,0.666647,0.083323,0.306205,0.666414,0.086012,0.310218,0.667052,0.090321,0.314946,0.668764
755,0.080678,0.302293,0.666545,0.0833,0.30562,0.666359,0.085982,0.30964,0.666911,0.090368,0.314326,0.668614
755.5,0.080736,0.301866,0.666317,0.083303,0.305178,0.666126,0.086,0.309219,0.66665,0.090361,0.31392,0.668344
756,0.080681,0.3017,0.66615,0.083303,0.305005,0.665962,0.085995,0.309057,0.66656,0.090304,0.313781,0.668317
756.5,0.080684,0.301653,0.666196,0.083297,0.304959,0.66591,0.085979,0.308985,0.666524,0.09029,0.313682,0.66828
757,0.08067,0.3013,0.665992,0.083298,0.304598,0.665739,0.085979,0.308597,0.66631,0.090303,0.313197,0.667982
757.5,0.080639,0.300519,0.665694,0.083293,0.303845,0.665364,0.085976,0.307784,0.665935,0.090255,0.312425,0.667615
758,0.080664,0.300016,0.665623,0.083317,0.303348,0.665349,0.085945,0.307357,0.665996,0.090234,0.312055,0.66774
758.5,0.080706,0.300031,0.6658,0.083345,0.303343,0.665526,0.085978,0.30743,0.666102,0.090253,0.312146,0.667815
759,0.080711,0.300092,0.665602,0.083346,0.303343,0.665276,0.086001,0.307359,0.665881,0.090292,0.312027,0.667508
759.5,0.080754,0.299646,0.665338,0.083355,0.302815,0.665038,0.086021,0.306794,0.665616,0.090293,0.311409,0.667287
760,0.080777,0.298984,0.665313,0.083401,0.302182,0.664975,0.086046,0.306186,0.665619,0.090299,0.31079,0.667309
