Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V,V_baseline,H_baseline
771.0,0.139253,0.13902166670000002,0.1394377,0.125645,0.12600666669999996,0.12146670000000004,0.132345,0.13410366669999998,0.12472270000000008,0.131039,0.13376166669999998,0.11853970000000003,0.129895,0.13531166669999997,0.11488470000000006,0.13066,0.13730966669999997,0.11260270000000006,0.5848663,0.2134143333
771.5,0.139059,0.138219,0.13912270000000004,0.125488,0.12517000000000003,0.12120470000000005,0.132201,0.13327200000000003,0.12449969999999999,0.130876,0.132933,0.11843270000000006,0.129714,0.134589,0.11484570000000005,0.130539,0.136674,0.11267970000000005,0.5847513,0.213382
772.0,0.138827,0.13771433330000002,0.13944029999999996,0.125343,0.1248203333,0.12166729999999992,0.132057,0.1330323333,0.12497130000000001,0.130727,0.13274133330000001,0.11889629999999995,0.129568,0.1345303333,0.11534429999999996,0.13035,0.13663733330000002,0.11301929999999993,0.5843017,0.2131226667
772.5,0.138663,0.137941,0.13945929999999995,0.125185,0.125105,0.12158329999999995,0.131891,0.133327,0.12484830000000002,0.130536,0.133043,0.1187473,0.129438,0.134862,0.11517329999999992,0.130167,0.13698199999999996,0.11294629999999994,0.5841047,0.212543
773.0,0.138486,0.13813233329999997,0.13885099999999995,0.125031,0.12533533330000002,0.12103699999999995,0.131705,0.13353433329999997,0.12440200000000001,0.130351,0.1331743333,0.11824599999999996,0.129236,0.1349383333,0.11472199999999999,0.129977,0.1369343333,0.112406,0.584326,0.2120856667
773.5,0.138322,0.1379946667,0.13867630000000009,0.12491,0.1250706667,0.12084130000000004,0.131582,0.13321666669999999,0.12415930000000008,0.13024,0.13287266669999998,0.11803930000000007,0.12909,0.1345186667,0.1145623,0.129879,0.1364986667,0.11222430000000005,0.5843567,0.2118223333
774.0,0.138145,0.13749066669999999,0.1386543,0.124759,0.1245146667,0.12090630000000002,0.13141,0.1326786667,0.12419930000000001,0.130106,0.13228966669999997,0.11802630000000003,0.128992,0.13393066669999998,0.11451829999999996,0.129751,0.13599566670000002,0.11220629999999998,0.5841547,0.2116913333
774.5,0.137959,0.1369836667,0.13845569999999996,0.124607,0.1240746667,0.12064470000000005,0.131239,0.1321886667,0.12393169999999998,0.129927,0.1318546667,0.11781169999999996,0.12883,0.1335746667,0.11429370000000005,0.129579,0.13570466669999998,0.11199769999999998,0.5839723,0.2114713333
775.0,0.137836,0.1368703333,0.13814300000000002,0.124443,0.1241293333,0.12059500000000001,0.13106,0.13228833330000003,0.12390699999999999,0.129774,0.1319973333,0.11791700000000005,0.128647,0.13375933330000003,0.11446199999999995,0.129425,0.1359953333,0.11225399999999996,0.583808,0.2110376667
775.5,0.137663,0.13730033330000002,0.13835870000000006,0.12432,0.1245663333,0.12081370000000002,0.130952,0.13268133330000004,0.12408370000000002,0.129644,0.13237033330000003,0.11800169999999999,0.12849,0.13406333330000003,0.11453769999999996,0.129296,0.13623133330000003,0.11226170000000002,0.5836783,0.2104576667
