Wavelength,0%,10%,20%,30%,40%,50%,60%,70%
378,3.972095,3.869671,3.983364,3.925384,3.999313,3.977351,3.999874,4
378.5,3.950565,3.937782,3.991764,3.948386,3.937591,4,3.755017,3.910511
379,4,3.86284,3.965088,3.900933,3.807602,3.971349,3.775734,3.943258
379.5,3.969668,3.885018,3.950744,3.885859,3.979707,3.89817,3.92944,3.950399
380,3.93222,3.90501,3.979198,3.706747,4,3.986342,3.866243,4
380.5,3.994003,3.966873,3.906973,3.960883,3.993866,3.966898,3.734277,3.980616
381,3.859992,3.897878,3.863986,3.618335,4,3.769248,3.847723,4
381.5,3.828703,3.859697,3.924731,3.516024,3.775497,3.843304,3.585015,3.697528
382,3.576147,3.648425,3.600985,3.586308,3.519027,3.425615,3.606936,3.72127
382.5,3.558683,3.49128,3.625826,3.556798,3.495465,3.285367,3.386084,3.467228
383,3.265304,3.647857,3.317463,3.221739,3.287729,3.301964,3.262322,3.284307
383.5,3.120651,3.2153,3.130029,3.236647,3.105788,3.160521,3.170908,3.04645
384,2.971845,3.056599,3.068086,2.96898,3.047597,3.099664,3.007364,2.986431
384.5,2.869551,2.92254,2.914793,2.864749,2.923957,2.88201,2.873587,2.830081
385,2.80135,2.837497,2.838389,2.761296,2.787883,2.771397,2.732265,2.742426
385.5,2.693076,2.6756,2.722285,2.669005,2.656651,2.645652,2.657091,2.627694
386,2.578868,2.584625,2.592155,2.574001,2.576799,2.532776,2.560455,2.511292
386.5,2.468888,2.498391,2.484602,2.479367,2.481363,2.450816,2.459614,2.431011
387,2.388536,2.39354,2.389983,2.373095,2.376227,2.36345,2.349765,2.33089
387.5,2.29173,2.300759,2.308442,2.27762,2.281047,2.271064,2.270437,2.244628
388,2.205345,2.211878,2.219122,2.195705,2.188287,2.177227,2.175006,2.15678
388.5,2.124917,2.135394,2.1443,2.111301,2.120588,2.10207,2.091754,2.07251
389,2.047572,2.066149,2.059665,2.038647,2.039612,2.02767,2.020801,2.000756
389.5,1.986468,1.993105,1.993991,1.97797,1.970849,1.963519,1.951983,1.931539
390,1.918214,1.926774,1.930032,1.911154,1.910591,1.894178,1.880088,1.866029
390.5,1.852025,1.868052,1.865066,1.847683,1.839687,1.829444,1.819264,1.800253
391,1.79619,1.810349,1.806211,1.789232,1.786932,1.772557,1.763399,1.741446
391.5,1.741925,1.754799,1.755459,1.73378,1.731858,1.717023,1.7066,1.686633
392,1.692329,1.707435,1.706286,1.684886,1.683748,1.667283,1.658393,1.639256
392.5,1.649146,1.66027,1.66105,1.64266,1.637754,1.624632,1.610841,1.593681
393,1.606736,1.616243,1.61583,1.597125,1.594447,1.580295,1.56733,1.547857
393.5,1.563702,1.574533,1.573663,1.556411,1.551951,1.537624,1.525712,1.505685
394,1.523534,1.534496,1.533557,1.515342,1.51139,1.496742,1.484308,1.465904
394.5,1.487229,1.49864,1.498524,1.480765,1.477077,1.460206,1.448902,1.430752
395,1.458783,1.469021,1.468349,1.451182,1.444512,1.43133,1.419108,1.400747
395.5,1.430065,1.439962,1.438957,1.42017,1.414522,1.400035,1.389355,1.37214
396,1.402186,1.413091,1.41085,1.392499,1.387922,1.37204,1.361122,1.344473
