Wavelength,0%,10%,20%,30%,40%,50%,60%,70%,0%H,10%H,20%H,30%H,40%H,50%H,60%H,70%H,0%V,10%V,20%V,30%V,40%V,50%V,60%V,70%V,V_baseline,H_baseline
763.5,0.092587,0.14667,0.171849,0.181276,0.189158,0.18764,0.187097,0.182835,0.089004,0.14189300000000002,0.16876499999999997,0.181221,0.190648,0.19092,0.19062900000000002,0.187538,0.09233530000000001,0.13913730000000002,0.16172730000000002,0.1673943,0.17307130000000004,0.17070030000000003,0.17023529999999998,0.16492230000000008,0.5860407,0.218396
764.0,0.092502,0.146561,0.171725,0.181142,0.189036,0.187466,0.186938,0.182689,0.08870566670000002,0.14154966670000002,0.16837566669999998,0.18102366670000003,0.19018566669999998,0.1904356667,0.1901576667,0.18707166670000003,0.09212299999999995,0.13882899999999998,0.16143399999999997,0.16688599999999998,0.17283300000000001,0.17045299999999997,0.16992799999999997,0.16459599999999996,0.586033,0.2183143333
764.5,0.092419,0.146477,0.17163,0.18105,0.188936,0.187368,0.186812,0.182647,0.08820933330000003,0.14108233330000003,0.16790933330000002,0.18011233330000004,0.1897033333,0.18992833330000003,0.18966533330000002,0.18657733330000004,0.09233000000000002,0.13905200000000006,0.16167700000000007,0.16679900000000003,0.173029,0.17069500000000004,0.17015100000000005,0.16483000000000003,0.585614,0.2180596667
765.0,0.092347,0.146414,0.171515,0.180952,0.188802,0.187267,0.186708,0.182525,0.0883606667,0.14118366670000002,0.16801566669999998,0.1800356667,0.18981966670000003,0.19003566670000002,0.1898326667,0.1866686667,0.09241100000000002,0.13915899999999992,0.16166499999999995,0.16712499999999997,0.17311100000000001,0.170705,0.17018500000000003,0.16484599999999994,0.585365,0.2174293333
765.5,0.092325,0.146373,0.17145,0.18094,0.188742,0.187218,0.186672,0.182443,0.088533,0.14133700000000002,0.16817200000000002,0.18035500000000002,0.18995900000000002,0.19021599999999997,0.189908,0.18677599999999997,0.09179700000000002,0.13860700000000004,0.161053,0.166705,0.172439,0.17007700000000003,0.169539,0.16419700000000004,0.585699,0.21701
766.0,0.092238,0.146334,0.171395,0.180875,0.188623,0.187073,0.186563,0.18235,0.08856099999999997,0.14135699999999998,0.168156,0.18054699999999999,0.189991,0.19021200000000002,0.189933,0.186833,0.09162630000000005,0.1383873,0.16086429999999996,0.16625729999999994,0.17219629999999997,0.16979029999999995,0.16934229999999995,0.16397930000000005,0.5858527,0.216807
766.5,0.092185,0.146289,0.171325,0.180701,0.188573,0.186979,0.186441,0.182229,0.08830466669999998,0.14109866669999999,0.1679106667,0.1802656667,0.18965266669999997,0.1899026667,0.1896746667,0.1865336667,0.09193629999999997,0.1387083,0.16125330000000004,0.1664443,0.1725563,0.1700273,0.16966029999999999,0.16430430000000007,0.5854927,0.2167143333
767.0,0.092078,0.14615,0.171224,0.180558,0.18841,0.186869,0.186338,0.182115,0.08803033330000001,0.1408313333,0.16760733329999997,0.17995433329999996,0.1893063333,0.1895633333,0.1892893333,0.18612633329999997,0.0921537,0.13887170000000004,0.1614337,0.1667187,0.17262270000000002,0.17015670000000005,0.16975669999999998,0.16436269999999997,0.5850723,0.2163916667
767.5,0.091959,0.146006,0.171078,0.180501,0.188244,0.186692,0.186183,0.181932,0.0878536667,0.14055166669999997,0.1673896667,0.1794976667,0.18908366669999999,0.1893256667,0.18906966669999997,0.18588466669999998,0.09172800000000003,0.138444,0.160956,0.166311,0.17216600000000004,0.16972500000000001,0.16934300000000002,0.16393100000000005,0.585016,0.2158303333
768.0,0.091847,0.145868,0.170935,0.180373,0.188089,0.186535,0.186047,0.181741,0.0880446667,0.1407516667,0.16761066670000002,0.1795456667,0.1893006667,0.18954466669999998,0.18935766669999998,0.18613566669999998,0.09166669999999999,0.1383837,0.16089070000000005,0.16610769999999997,0.17213069999999997,0.1697417,0.1692897,0.16386769999999995,0.5850263,0.2152643333
768.5,0.091769,0.14581,0.170873,0.180292,0.188037,0.186418,0.185924,0.181689,0.08825133329999998,0.1409953333,0.16777733329999997,0.18002633329999998,0.18945833329999998,0.1896623333,0.18951833329999998,0.1863283333,0.09172570000000002,0.13841570000000003,0.16086769999999995,0.1663287,0.1721277,0.16970969999999996,0.16926969999999997,0.1638467,0.5850303,0.2149936667
769.0,0.091745,0.145764,0.170821,0.180237,0.187934,0.18635,0.185846,0.181577,0.08802966670000001,0.14073866670000001,0.16749466669999996,0.18015666669999997,0.1891326667,0.18934766669999997,0.1892176667,0.18598666669999997,0.09161269999999999,0.13824970000000003,0.1606107,0.16610770000000008,0.1719467,0.16944670000000006,0.16904770000000002,0.16361370000000008,0.5850443,0.2149713333
769.5,0.091719,0.145725,0.170774,0.180186,0.187887,0.18631,0.185779,0.181525,0.08753633329999999,0.14028533329999998,0.16695833329999998,0.17945933329999997,0.1885123333,0.18876233329999997,0.18860433329999998,0.1853903333,0.09156970000000009,0.13816070000000003,0.16053270000000008,0.16583670000000006,0.1718877000000001,0.1693667000000001,0.16895670000000007,0.16353070000000003,0.5848203,0.2148036667
770.0,0.091656,0.14565,0.170667,0.180071,0.187746,0.186202,0.185642,0.181399,0.08749333329999998,0.1401763333,0.1669433333,0.17885333329999997,0.18851733329999998,0.1887593333,0.18864033330000002,0.18539133330000002,0.09178629999999999,0.13841130000000001,0.16082229999999997,0.16592830000000003,0.1720813,0.16962330000000003,0.16919530000000005,0.16375830000000002,0.5844657,0.2142186667
770.5,0.091556,0.145564,0.17057,0.17995,0.187625,0.186075,0.18553,0.181258,0.08781433329999999,0.14055933329999998,0.1672833333,0.1793063333,0.18893033329999998,0.1891013333,0.1889483333,0.1856803333,0.09162800000000004,0.13824500000000006,0.16067200000000004,0.16611700000000007,0.17183800000000005,0.16940699999999997,0.168968,0.16349500000000006,0.584487,0.2136126667
771.0,0.091474,0.145467,0.170469,0.179853,0.187548,0.185954,0.18543,0.181169,0.0878856667,0.1406096667,0.16729866670000001,0.17971766669999997,0.18891466669999998,0.1891296667,0.1889476667,0.1856756667,0.09103670000000008,0.13769770000000003,0.1600967000000001,0.16551870000000002,0.17128870000000007,0.1687847,0.16838370000000003,0.1629547,0.5848663,0.2134143333
