Wavelength,Test1,Test2,Test3,Average
408,0.433495,0.433575,0.434594,0.433888
408.5,0.429266,0.429235,0.430432,0.4296443333
409,0.425269,0.425248,0.426436,0.425651
409.5,0.421147,0.421212,0.422494,0.4216176667
410,0.417744,0.417654,0.419103,0.418167
410.5,0.414429,0.414541,0.415816,0.4149286667
411,0.411666,0.411808,0.412998,0.4121573333
411.5,0.409203,0.40936,0.410474,0.409679
412,0.406871,0.406892,0.408202,0.4073216667
412.5,0.404702,0.404646,0.405867,0.4050716667
413,0.402782,0.402635,0.403792,0.4030696667
413.5,0.400733,0.400554,0.401709,0.4009986667
414,0.398644,0.398589,0.399808,0.3990136667
414.5,0.396834,0.396696,0.39784,0.3971233333
415,0.395223,0.39516,0.396255,0.395546
415.5,0.393738,0.393599,0.394748,0.3940283333
416,0.391958,0.39185,0.392993,0.392267
416.5,0.390476,0.39053,0.3918,0.3909353333
417,0.389575,0.38968,0.391001,0.3900853333
417.5,0.388371,0.388432,0.38976,0.3888543333
418,0.387208,0.387231,0.388626,0.3876883333
418.5,0.386219,0.386126,0.387518,0.386621
419,0.385154,0.385127,0.38651,0.385597
419.5,0.384144,0.384153,0.385524,0.384607
420,0.38321,0.383153,0.384579,0.3836473333
420.5,0.38237,0.382271,0.383693,0.382778
421,0.381335,0.381308,0.382597,0.3817466667
421.5,0.380453,0.380504,0.381794,0.380917
422,0.379567,0.37965,0.380924,0.380047
422.5,0.378898,0.378841,0.380078,0.3792723333
423,0.378115,0.378011,0.379282,0.3784693333
423.5,0.377303,0.377293,0.378612,0.377736
424,0.376573,0.376605,0.377817,0.3769983333
424.5,0.37585,0.375849,0.377086,0.3762616667
425,0.375031,0.375124,0.376434,0.3755296667
425.5,0.374323,0.374386,0.375733,0.374814
426,0.373697,0.373713,0.37506,0.3741566667
426.5,0.373103,0.373008,0.374377,0.373496
427,0.372328,0.372304,0.373639,0.372757
427.5,0.371609,0.371581,0.372884,0.3720246667
428,0.370934,0.37089,0.372228,0.3713506667
428.5,0.370216,0.370208,0.371558,0.3706606667
429,0.369609,0.369606,0.370893,0.370036
429.5,0.368968,0.369015,0.370366,0.3694496667
430,0.368396,0.368426,0.369726,0.3688493333
430.5,0.367819,0.367952,0.369082,0.3682843333
431,0.367227,0.367181,0.368429,0.3676123333
431.5,0.366592,0.366608,0.367889,0.3670296667
432,0.366024,0.365973,0.367314,0.366437
432.5,0.365431,0.365426,0.366705,0.365854
433,0.364851,0.364849,0.36606,0.3652533333
433.5,0.364272,0.364281,0.365531,0.3646946667
434,0.363689,0.363712,0.364951,0.3641173333
434.5,0.363081,0.363125,0.364355,0.3635203333
435,0.362445,0.36242,0.363687,0.3628506667
435.5,0.361993,0.361965,0.363227,0.362395
436,0.361482,0.361436,0.362755,0.361891
436.5,0.360845,0.360834,0.362162,0.3612803333
437,0.360189,0.360282,0.361549,0.3606733333
437.5,0.359646,0.359713,0.361016,0.360125
438,0.359202,0.359239,0.360504,0.3596483333
438.5,0.358621,0.358716,0.360006,0.3591143333
439,0.358085,0.358135,0.359434,0.3585513333
439.5,0.357621,0.357629,0.35893,0.35806
440,0.357135,0.35714,0.358414,0.357563
440.5,0.356672,0.356608,0.357896,0.3570586667
441,0.356092,0.356128,0.357326,0.3565153333
441.5,0.355515,0.355632,0.35681,0.3559856667
442,0.355079,0.355087,0.356308,0.3554913333
442.5,0.354719,0.354596,0.355822,0.3550456667
443,0.354147,0.354105,0.355365,0.354539
443.5,0.353558,0.353562,0.354805,0.353975
444,0.353005,0.353028,0.354255,0.3534293333
444.5,0.352468,0.352554,0.353751,0.3529243333
445,0.351977,0.35205,0.353268,0.3524316667
445.5,0.351563,0.3515,0.35272,0.3519276667
446,0.35108,0.351087,0.352336,0.351501
446.5,0.350554,0.350564,0.351806,0.3509746667
447,0.350074,0.350101,0.351314,0.3504963333
447.5,0.34952,0.349601,0.350867,0.349996
448,0.349076,0.349085,0.350338,0.3494996667
448.5,0.348572,0.348624,0.349858,0.349018
449,0.348087,0.348202,0.349389,0.3485593333
449.5,0.347714,0.34772,0.348968,0.348134
450,0.347261,0.347348,0.348585,0.3477313333
450.5,0.346841,0.346876,0.348027,0.347248
451,0.346357,0.346353,0.347565,0.3467583333
451.5,0.345871,0.345906,0.347154,0.3463103333
452,0.345365,0.345507,0.346718,0.3458633333
452.5,0.344911,0.345013,0.34621,0.345378
453,0.344477,0.344461,0.345705,0.344881
453.5,0.344041,0.344051,0.345314,0.3444686667
454,0.343639,0.343624,0.3449,0.3440543333
454.5,0.343175,0.343135,0.344347,0.3435523333
455,0.342698,0.342719,0.343938,0.3431183333
455.5,0.342299,0.342298,0.343495,0.3426973333
456,0.34185,0.341929,0.343111,0.3422966667
456.5,0.341469,0.341392,0.342652,0.3418376667
457,0.340908,0.34098,0.342137,0.3413416667
457.5,0.340541,0.340569,0.341774,0.3409613333
458,0.340261,0.340188,0.341457,0.3406353333
458.5,0.339866,0.339873,0.341095,0.340278
459,0.339568,0.339542,0.340713,0.339941
459.5,0.339182,0.339128,0.34032,0.3395433333
460,0.338758,0.338765,0.339897,0.33914
460.5,0.338362,0.338415,0.339613,0.3387966667
461,0.337977,0.338054,0.339227,0.3384193333
461.5,0.337661,0.337734,0.338924,0.3381063333
462,0.3374,0.337341,0.338609,0.3377833333
462.5,0.337158,0.337115,0.338341,0.337538
463,0.336869,0.336816,0.338073,0.3372526667
463.5,0.336593,0.336534,0.337831,0.336986
464,0.336328,0.336297,0.337529,0.336718
464.5,0.336119,0.336137,0.337342,0.3365326667
465,0.335944,0.335938,0.337162,0.336348
465.5,0.335775,0.335826,0.337047,0.336216
466,0.335621,0.335697,0.336778,0.336032
466.5,0.335488,0.335487,0.336671,0.335882
467,0.335412,0.335309,0.336613,0.335778
467.5,0.335364,0.335271,0.336543,0.335726
468,0.335292,0.335219,0.336487,0.335666
468.5,0.3353,0.335255,0.336532,0.3356956667
469,0.33541,0.335384,0.336655,0.3358163333
469.5,0.335513,0.335526,0.336737,0.3359253333
470,0.335707,0.3357,0.336955,0.3361206667
470.5,0.335989,0.336032,0.337239,0.33642
471,0.33639,0.336435,0.337684,0.3368363333
471.5,0.337084,0.337105,0.338287,0.337492
472,0.337952,0.338042,0.339221,0.338405
472.5,0.339486,0.339486,0.34064,0.3398706667
473,0.341473,0.3414,0.342571,0.3418146667
473.5,0.34296,0.342981,0.344089,0.3433433333
474,0.343282,0.34331,0.344437,0.3436763333
474.5,0.342521,0.342528,0.343735,0.342928
475,0.341363,0.341383,0.342548,0.3417646667
475.5,0.340141,0.340145,0.341314,0.3405333333
476,0.338732,0.338693,0.339933,0.3391193333
476.5,0.337245,0.337208,0.338441,0.3376313333
477,0.335537,0.33554,0.336758,0.335945
477.5,0.333708,0.333736,0.334934,0.334126
478,0.33172,0.33173,0.332977,0.3321423333
478.5,0.329617,0.329689,0.330911,0.3300723333
479,0.327333,0.327423,0.328579,0.3277783333
479.5,0.324999,0.32507,0.326319,0.3254626667
480,0.322411,0.322413,0.323733,0.3228523333
480.5,0.319525,0.319574,0.320807,0.3199686667
481,0.316427,0.316463,0.317697,0.3168623333
481.5,0.313205,0.313206,0.314365,0.313592
482,0.309891,0.309843,0.311035,0.3102563333
482.5,0.306511,0.30643,0.307617,0.3068526667
483,0.302468,0.302448,0.303667,0.302861
483.5,0.298344,0.298288,0.299539,0.2987236667
484,0.294033,0.293967,0.295312,0.2944373333
484.5,0.289686,0.289624,0.291018,0.2901093333
