Wavelength,Test1,Test2,Test3,Average
895.5,0.075079,0.075067,0.076318,0.075488
896,0.074335,0.074375,0.075725,0.07481166667
896.5,0.074098,0.074128,0.075018,0.07441466667
897,0.073625,0.073642,0.074134,0.07380033333
897.5,0.07326,0.073321,0.073117,0.07323266667
898,0.0729,0.072873,0.072866,0.07287966667
898.5,0.07194,0.071883,0.072948,0.072257
899,0.071389,0.071461,0.07277,0.07187333333
899.5,0.071161,0.071243,0.072463,0.07162233333
900,0.070755,0.070839,0.071945,0.07117966667
