Wavelength,Test 1,Test 2,Test 3,Average
414.0000000,0.6008840,0.6027010,0.6026780,0.6020877
414.5000000,0.5976430,0.5991130,0.5991230,0.5986263
415.0000000,0.5946450,0.5958710,0.5959240,0.5954800
415.5000000,0.5918480,0.5930790,0.5930510,0.5926593
416.0000000,0.5889830,0.5899790,0.5899330,0.5896317
416.5000000,0.5865590,0.5873490,0.5875000,0.5871360
417.0000000,0.5844800,0.5851580,0.5854360,0.5850247
417.5000000,0.5819910,0.5826390,0.5829250,0.5825183
418.0000000,0.5796300,0.5803130,0.5804890,0.5801440
418.5000000,0.5774230,0.5780080,0.5782030,0.5778780
419.0000000,0.5754240,0.5760950,0.5760680,0.5758623
419.5000000,0.5735580,0.5741830,0.5741940,0.5739783
420.0000000,0.5714900,0.5723010,0.5722660,0.5720190
420.5000000,0.5695660,0.5704400,0.5704710,0.5701590
421.0000000,0.5678060,0.5686260,0.5686320,0.5683547
421.5000000,0.5661980,0.5669090,0.5668540,0.5666537
422.0000000,0.5647230,0.5652940,0.5653500,0.5651223
422.5000000,0.5632190,0.5637160,0.5637490,0.5635613
423.0000000,0.5616770,0.5621950,0.5622480,0.5620400
423.5000000,0.5602650,0.5607580,0.5608740,0.5606323
424.0000000,0.5587590,0.5593660,0.5594950,0.5592067
424.5000000,0.5573670,0.5579590,0.5580850,0.5578037
425.0000000,0.5560310,0.5565690,0.5567230,0.5564410
425.5000000,0.5546720,0.5551640,0.5554340,0.5550900
426.0000000,0.5534200,0.5540220,0.5541260,0.5538560
426.5000000,0.5522630,0.5527390,0.5528090,0.5526037
427.0000000,0.5509480,0.5514240,0.5515950,0.5513223
427.5000000,0.5496740,0.5502290,0.5502930,0.5500653
428.0000000,0.5484450,0.5490050,0.5490820,0.5488440
428.5000000,0.5472730,0.5478350,0.5479000,0.5476693
429.0000000,0.5462310,0.5467140,0.5468010,0.5465820
429.5000000,0.5452140,0.5457440,0.5458010,0.5455863
430.0000000,0.5441440,0.5445690,0.5447790,0.5444973
430.5000000,0.5432080,0.5435420,0.5436710,0.5434737
431.0000000,0.5421590,0.5426420,0.5427670,0.5425227
431.5000000,0.5412070,0.5416370,0.5418850,0.5415763
432.0000000,0.5402820,0.5407290,0.5408600,0.5406237
432.5000000,0.5394360,0.5397640,0.5399040,0.5397013
433.0000000,0.5384990,0.5389460,0.5390180,0.5388210
433.5000000,0.5376330,0.5380930,0.5380880,0.5379380
434.0000000,0.5368190,0.5370480,0.5372260,0.5370310
434.5000000,0.5357990,0.5362310,0.5362730,0.5361010
435.0000000,0.5348950,0.5353380,0.5354980,0.5352437
435.5000000,0.5341610,0.5345520,0.5346860,0.5344663
436.0000000,0.5334930,0.5337960,0.5338560,0.5337150
436.5000000,0.5326020,0.5329840,0.5330310,0.5328723
437.0000000,0.5318240,0.5322370,0.5322300,0.5320970
437.5000000,0.5311200,0.5314000,0.5314690,0.5313297
438.0000000,0.5303630,0.5307830,0.5307790,0.5306417
438.5000000,0.5295280,0.5299410,0.5300380,0.5298357
439.0000000,0.5288880,0.5291740,0.5292110,0.5290910
439.5000000,0.5282100,0.5285450,0.5286530,0.5284693
440.0000000,0.5276570,0.5279940,0.5279580,0.5278697
440.5000000,0.5269230,0.5271980,0.5272410,0.5271207
441.0000000,0.5262920,0.5265440,0.5265930,0.5264763
441.5000000,0.5256520,0.5259330,0.5259240,0.5258363
442.0000000,0.5249740,0.5252480,0.5253220,0.5251813
442.5000000,0.5243130,0.5247080,0.5247410,0.5245873
443.0000000,0.5237530,0.5240430,0.5241360,0.5239773
443.5000000,0.5230700,0.5234040,0.5234980,0.5233240
444.0000000,0.5224900,0.5227570,0.5228810,0.5227093
444.5000000,0.5218470,0.5220830,0.5221750,0.5220350
445.0000000,0.5212240,0.5214920,0.5215380,0.5214180
445.5000000,0.5206860,0.5208800,0.5210350,0.5208670
446.0000000,0.5201200,0.5203540,0.5204810,0.5203183
446.5000000,0.5194450,0.5196920,0.5198450,0.5196607
447.0000000,0.5189260,0.5191450,0.5192880,0.5191197
447.5000000,0.5183350,0.5185600,0.5186290,0.5185080
448.0000000,0.5177210,0.5179760,0.5180940,0.5179303
448.5000000,0.5172420,0.5174420,0.5175420,0.5174087
449.0000000,0.5167330,0.5170300,0.5170010,0.5169213
449.5000000,0.5161520,0.5164610,0.5164970,0.5163700
450.0000000,0.5156870,0.5159980,0.5160110,0.5158987
450.5000000,0.5151720,0.5154490,0.5154940,0.5153717
451.0000000,0.5146640,0.5148520,0.5149530,0.5148230
451.5000000,0.5140890,0.5142930,0.5144420,0.5142747
452.0000000,0.5136480,0.5137640,0.5139350,0.5137823
452.5000000,0.5130540,0.5132300,0.5133480,0.5132107
453.0000000,0.5124980,0.5127830,0.5128250,0.5127020
453.5000000,0.5119950,0.5122180,0.5122720,0.5121617
454.0000000,0.5114960,0.5117260,0.5118110,0.5116777
454.5000000,0.5109180,0.5111450,0.5112290,0.5110973
455.0000000,0.5104480,0.5106070,0.5106790,0.5105780
455.5000000,0.5099370,0.5100840,0.5101320,0.5100510
456.0000000,0.5094300,0.5095980,0.5096530,0.5095603
456.5000000,0.5088610,0.5091110,0.5090730,0.5090150
457.0000000,0.5082380,0.5084190,0.5085050,0.5083873
457.5000000,0.5077630,0.5079620,0.5080290,0.5079180
458.0000000,0.5073310,0.5074710,0.5075410,0.5074477
